year,tumor_deaths,digestive_deaths,tumor_pct_change_from_2000,digestive_pct_change_from_2000
2000,7027378.950997902,2040094.8258528372,0.0,0.0
2001,7119112.906422026,2068013.3965840645,1.31,1.37
2002,7216453.079717588,2103864.6282181954,2.69,3.13
2003,7293823.292017418,2132934.559418587,3.79,4.55
2004,7312943.652298463,2143282.2269519176,4.06,5.06
2005,7410464.817750901,2166158.377806442,5.45,6.18
2006,7502781.517662931,2167505.102478721,6.77,6.25
2007,7659648.763977157,2188285.562249869,9.0,7.26
2008,7792214.066851091,2217292.7944769217,10.88,8.69
2009,7868151.722113762,2213505.923947223,11.96,8.5
2010,7977506.5425769165,2227109.638719952,13.52,9.17
2011,8050869.027484869,2226115.0244625635,14.56,9.12
2012,8168976.962342657,2232653.2870431687,16.25,9.44
2013,8256652.263330267,2235795.3799689533,17.49,9.59
2014,8402565.3960584,2250538.6616113386,19.57,10.32
2015,8658120.922540786,2294399.8874922176,23.21,12.47
2016,8914617.764700308,2320358.353012223,26.86,13.74
2017,9148164.386174293,2343630.7658955995,30.18,14.88
2018,9238321.269377002,2351743.923539916,31.46,15.28
2019,9284066.193241479,2362970.2729334054,32.11,15.83
2020,9419530.049247652,2339281.2783481358,34.04,14.67
2021,9896032.52144063,2360969.84877842,40.82,15.73
2022,10309937.801241519,2427862.6170416404,46.71,19.01
2023,10485158.819853995,2403253.8039284497,49.2,17.8
